Date,Close/Last,Open,High,Low
11/21/2024,63.2365,63.9389,64.2513,63.213
11/20/2024,63.9389,63.9281,64.2518,62.548
11/19/2024,63.9281,67.0304,67.0304,63.219
11/18/2024,67.0304,68.9283,68.9988,66.9919
11/15/2024,68.9283,69.8612,70.244,68.6056
11/14/2024,69.8612,68.6008,70.8423,68.6008
11/13/2024,68.6008,73.9798,73.9798,68.2077
11/12/2024,73.9798,74.7913,74.7913,72.5937
11/11/2024,74.7913,71.7681,75.2701,71.7681
11/08/2024,71.7681,71.2277,71.9048,70.7401
11/07/2024,71.2277,71.9562,72.2861,71.1739
11/06/2024,71.9562,67.9864,72.0828,67.9864
11/05/2024,67.9864,66.1628,68.2073,66.1628
11/04/2024,66.1628,67.8292,67.8292,66.1427
11/01/2024,67.8292,66.9181,68.995,66.9181
10/31/2024,66.9181,67.5329,67.8807,66.6589
10/30/2024,67.5329,67.2077,68.2224,66.9233
10/29/2024,67.2077,69.7376,69.7376,67.0233
10/28/2024,69.7376,67.6865,70.7115,67.6865
10/25/2024,67.6865,66.3505,69.2352,66.3505
10/24/2024,66.3505,68.7392,68.7392,66.2566
10/23/2024,68.7392,66.2326,69.0812,66.2326
10/22/2024,66.2326,66.9509,67.0722,65.5419
10/21/2024,66.9509,65.2909,67.7647,65.2909
10/18/2024,65.2909,63.3995,65.4289,63.2038
10/17/2024,63.3995,63.5544,63.6818,62.6302
10/16/2024,63.5544,60.6536,63.5813,60.6536
10/15/2024,60.6536,60.264,61.7377,60.264
10/14/2024,60.264,59.4323,60.4578,59.3629
10/11/2024,59.4323,58.8462,59.4857,58.2414
10/10/2024,58.8462,58.9188,59.2866,58.0387
10/09/2024,58.9188,59.3911,60.4379,58.7335
10/08/2024,59.3911,58.6234,60.2659,58.6234
10/07/2024,58.6234,58.8274,59.1363,57.9906
10/04/2024,58.8274,56.9247,59.8934,56.9247
10/03/2024,56.9247,57.7577,58.007,56.48
10/02/2024,57.7577,58.4318,58.4318,57.3605
10/01/2024,58.4318,59.1459,59.1459,57.554
09/30/2024,59.1459,58.6503,59.5619,58.4951
09/27/2024,58.6503,58.4455,59.2454,58.3206
09/26/2024,58.4455,55.5164,58.9564,55.5164
09/25/2024,55.5164,55.9695,56.4853,55.4971
09/24/2024,55.9695,54.9397,56.2504,54.9397
09/23/2024,54.9397,55.136,55.3928,54.6047
09/20/2024,55.136,55.3176,55.353,54.8921
09/19/2024,55.3176,55.1684,56.5546,55.1503
09/18/2024,55.1684,55.5429,56.5857,55.0652
09/17/2024,55.5429,54.1735,56.0209,54.1735
09/16/2024,54.1735,53.8249,54.573,53.8249
09/13/2024,53.8249,53.2863,54.5439,53.2863
09/12/2024,53.2863,52.5676,53.7771,52.0754
09/11/2024,52.5676,52.1799,52.6126,51.6235
09/10/2024,52.1799,52.6983,52.8207,51.4332
09/09/2024,52.6983,51.5392,52.997,51.5392
09/06/2024,51.5392,51.7979,52.5269,51.0105
09/05/2024,51.7979,50.8324,52.6874,50.8324
09/04/2024,50.8324,50.7576,51.5645,50.4158
09/03/2024,50.7576,51.4722,51.4722,50.521
08/30/2024,51.4722,51.0759,52.0785,51.0759
08/29/2024,51.0759,51.0512,51.7125,50.4626
08/28/2024,51.0512,51.6756,51.6756,50.669
08/27/2024,51.6756,51.4255,52.0551,51.1367
08/26/2024,51.4255,51.9628,52.1819,51.3839
08/23/2024,51.9628,50.0914,52.0008,50.0914
08/22/2024,50.0914,50.8725,51.0017,50.0072
08/21/2024,50.8725,50.6001,51.1351,50.6001
08/20/2024,50.6001,50.6651,51.1682,50.5095
08/19/2024,50.6651,50.0991,50.8048,50.026
08/16/2024,50.0991,50.5131,50.5131,49.8657
08/15/2024,50.5131,48.3651,50.5164,48.3651
08/14/2024,48.3651,48.134,48.719,47.9322
08/13/2024,48.134,47.3639,48.2236,46.8019
08/12/2024,47.3639,49.3703,49.3703,47.3639
08/09/2024,49.3703,49.4471,49.7281,48.9803
08/08/2024,49.4471,47.5858,49.5762,47.5858
08/07/2024,47.5858,48.377,49.5848,47.568
08/06/2024,48.377,47.223,49.053,47.223
08/05/2024,47.223,49.2234,49.2234,45.9866
08/02/2024,49.2234,51.5197,51.5197,49.1559
08/01/2024,51.5197,54.5838,54.7136,51.1381
07/31/2024,54.5838,55.0428,56.193,54.4599
07/30/2024,55.0428,53.5458,56.0253,53.5458
07/29/2024,53.5458,54.8702,54.8702,53.4248
07/26/2024,54.8702,54.201,54.9283,53.7587
07/25/2024,54.201,52.2178,54.9215,51.8353
07/24/2024,52.2178,54.0786,54.2924,52.1918
07/23/2024,54.0786,54.4546,54.4599,53.7817
07/22/2024,54.4546,54.4252,54.6183,53.0712
07/19/2024,54.4252,54.3558,54.6401,53.7171
07/18/2024,54.3558,56.5035,56.5035,54.083
07/17/2024,56.5035,57.8144,57.8144,56.4571
07/16/2024,57.8144,55.974,57.8509,55.974
07/15/2024,55.974,55.9296,56.6094,55.5648
07/12/2024,55.9296,55.8514,56.13,55.4019
07/11/2024,55.8514,55.6155,55.9309,53.6633
07/10/2024,55.6155,55.5966,56.1237,55.4053
07/09/2024,55.5966,55.4393,56.1889,55.1594
07/08/2024,55.4393,55.0483,55.5548,54.8816
07/05/2024,55.0483,56.4391,56.4391,55.0372
07/03/2024,56.4391,55.7506,56.7086,55.7506
07/02/2024,55.7506,55.6465,56.0622,55.476
07/01/2024,55.6465,56.6936,56.9283,55.5412
06/28/2024,56.6936,56.571,56.7458,56.1762
06/27/2024,56.571,55.9053,56.6922,55.6626
06/26/2024,55.9053,56.4095,56.4095,54.9205
06/25/2024,56.4095,57.127,57.2625,56.3649
06/24/2024,57.127,56.9985,57.4655,56.8162
06/21/2024,56.9985,56.9611,57.4135,56.4094
06/20/2024,56.9611,57.299,57.6457,56.8452
06/18/2024,57.299,57.4988,57.8357,57.1987
06/17/2024,57.4988,56.5574,57.5465,56.2053
06/14/2024,56.5574,57.7377,57.7377,55.8509
06/13/2024,57.7377,58.2844,58.2844,56.8924
06/12/2024,58.2844,57.4143,59.1285,57.4143
06/11/2024,57.4143,58.2317,58.2317,57.2825
06/10/2024,58.2317,58.0921,58.4221,57.706
06/07/2024,58.0921,58.683,58.7542,57.8918
06/06/2024,58.683,59.4071,59.7858,58.584
06/05/2024,59.4071,58.6812,59.807,58.5386
06/04/2024,58.6812,59.0333,59.5762,58.5342
06/03/2024,59.0333,58.9748,60.0508,58.4681
05/31/2024,58.9748,58.0417,59.0287,58.0417
05/30/2024,58.0417,57.4247,58.2114,57.266
05/29/2024,57.4247,58.6233,58.6233,56.1339
05/28/2024,58.6233,59.8285,59.8285,58.4281
05/24/2024,59.8285,59.2799,59.9703,59.2135
05/23/2024,59.2799,60.5171,60.793,59.0607
05/22/2024,60.5171,60.9104,61.2504,60.3056
05/21/2024,60.9104,61.9975,61.9975,60.8935
05/20/2024,61.9975,62.5143,62.5764,61.8706
05/17/2024,62.5143,62.7771,63.2199,62.4736
05/16/2024,62.7771,63.6691,64.1032,62.7525
05/15/2024,63.6691,64.7305,65.1313,63.6398
05/14/2024,64.7305,63.9605,65.6844,63.9605
05/13/2024,63.9605,62.4032,64.5828,62.4032
05/10/2024,62.4032,62.3374,62.9394,62.0872
05/09/2024,62.3374,61.6979,62.3374,60.8927
05/08/2024,61.6979,61.4131,61.971,61.075
05/07/2024,61.4131,63.0846,63.0846,61.3659
05/06/2024,63.0846,62.1849,63.1649,61.9486
05/03/2024,62.1849,61.7472,63.0185,61.7472
05/02/2024,61.7472,60.3508,61.9286,60.3508
05/01/2024,60.3508,60.5673,61.2772,59.6897
04/30/2024,60.5673,62.3729,62.3729,60.5449
04/29/2024,62.3729,61.7842,62.3777,61.7506
04/26/2024,61.7842,62.0322,62.6105,61.226
04/25/2024,62.0322,62.404,62.404,60.2838
04/24/2024,62.404,64.1152,64.1152,62.2091
04/23/2024,64.1152,65.1721,65.1721,63.582
04/22/2024,65.1721,64.0189,65.3541,63.8062
04/19/2024,64.0189,63.688,64.5461,63.5964
04/18/2024,63.688,62.7566,64.8238,62.7566
04/17/2024,62.7566,60.4477,63.0454,60.4477
04/16/2024,60.4477,61.2966,61.2966,59.4248
04/15/2024,61.2966,61.3408,62.4527,60.8347
04/12/2024,61.3408,63.7576,63.7576,60.8495
04/11/2024,63.7576,63.1928,63.9623,62.6254
04/10/2024,63.1928,65.4881,65.7136,62.8009
04/09/2024,65.4881,65.1355,65.6437,64.6876
04/08/2024,65.1355,63.9608,65.6513,63.9608
04/05/2024,63.9608,63.6015,64.1338,63.2332
04/04/2024,63.6015,64.3802,66.1863,63.4194
04/03/2024,64.3802,64.7479,64.8604,63.8777
04/02/2024,64.7479,65.945,65.945,63.9808
04/01/2024,65.945,67.2042,67.6746,65.8815
03/28/2024,67.2042,67.0822,67.8572,67.0822
03/27/2024,67.0822,65.4682,67.0827,65.4452
03/26/2024,65.4682,65.4849,66.3094,65.4049
03/25/2024,65.4849,64.5263,65.6078,64.1315
03/22/2024,64.5263,65.2259,65.2259,64.4243
03/21/2024,65.2259,64.7024,65.2361,64.4801
03/20/2024,64.7024,62.3261,64.8335,61.9152
03/19/2024,62.3261,63.0449,63.3494,62.2005
03/18/2024,63.0449,63.1824,63.1997,62.4167
03/15/2024,63.1824,62.806,63.5388,62.7468
03/14/2024,62.806,63.8297,63.8297,62.38
